SKU,Product Name,Brand,Category,Sub-Category,Package Size,MRP (INR),Standard Selling Price (INR),Description,Real Image URL
GCPL-HT-099,Lal HIT Cockroach Killer Spray Fresh Jumbo,HIT,Home Care,Household Insecticides,625 ml,330.00,295.00,Jumbo fresh fragrance cockroach aerosol,https://www.bigbasket.com/media/uploads/p/l/40093850_1-hit-cockroach-killer-fresh-625ml.jpg
GCPL-HT-100,HIT Anti-Roach Gel,HIT,Home Care,Household Insecticides,20 g,160.00,145.00,Odourless kitchen safe cockroach gel in easy applicator syringe,https://www.bigbasket.com/media/uploads/p/l/40038221_1-hit-anti-roach-gel.jpg
GCPL-HT-101,HIT Anti-Roach Gel (Pack of 2),HIT,Home Care,Household Insecticides,2 x 20 g,320.00,280.00,Twin pack of odourless anti-roach nesting gel,https://www.bigbasket.com/media/uploads/p/l/40038222_1-hit-anti-roach-gel-pack-of-2.jpg
GCPL-HT-102,HIT Rat Glue Board Medium,HIT,Home Care,Household Insecticides,1 Unit,90.00,82.00,Super strong stickiness rat glue pad for clean trap,https://www.bigbasket.com/media/uploads/p/l/40118322_1-hit-rat-glue-board.jpg
GCPL-HT-103,HIT Rat Glue Board Medium (Pack of 2),HIT,Home Care,Household Insecticides,2 Units,180.00,160.00,Twin pack of strong adhesive rat catch pads,https://www.bigbasket.com/media/uploads/p/l/40118323_1-hit-rat-glue-board-pack-of-2.jpg
GCPL-HT-104,HIT Rat Glue Board Large,HIT,Home Care,Household Insecticides,1 Unit,130.00,118.00,Large book style foldout adhesive tray for heavy pests,https://www.bigbasket.com/media/uploads/p/l/40118324_1-hit-rat-glue-board-large.jpg
GCPL-HT-105,HIT Rat Glue Board Large (Pack of 2),HIT,Home Care,Household Insecticides,2 Units,260.00,225.00,Twin pack of large layout book style adhesive traps,https://www.bigbasket.com/media/uploads/p/l/40118325_1-hit-rat-glue-board-large-pack-of-2.jpg
GCPL-HT-106,HIT Anti-Mosquito Racquet Classic,HIT,Home Care,Household Insecticides,1 Unit,499.00,425.00,High voltage electric net insect racquet with long-life rechargeable battery,https://www.bigbasket.com/media/uploads/p/l/40191834_1-hit-anti-mosquito-racquet.jpg
GCPL-HT-107,HIT Anti-Mosquito Racquet Premium with LED Light,HIT,Home Care,Household Insecticides,1 Unit,599.00,499.00,Insect racquet featuring built-in LED flashlight and charging base,https://www.bigbasket.com/media/uploads/p/l/40191835_1-hit-anti-mosquito-racquet-led.jpg
GCPL-HT-108,HIT Chalk for Cockroaches & Ants,HIT,Home Care,Household Insecticides,1 Unit,20.00,18.00,Insecticidal draw-on chalk line trap,https://www.bigbasket.com/media/uploads/p/l/40121148_1-hit-chalk.jpg
GCPL-HT-109,HIT Chalk for Cockroaches & Ants (Pack of 2),HIT,Home Care,Household Insecticides,2 Units,40.00,35.00,Twin pack draw-on insecticide chalks,https://www.bigbasket.com/media/uploads/p/l/40121149_1-hit-chalk-pack-of-2.jpg
GCPL-HT-110,HIT Food Safe Fly Spray,HIT,Home Care,Household Insecticides,150 ml,115.00,105.00,Odourless aerosol spray safe to use in dining and kitchen spaces,https://www.bigbasket.com/media/uploads/p/l/40121150_1-hit-food-safe-fly-spray.jpg
GCPL-HT-111,HIT Food Safe Fly Spray Medium,HIT,Home Care,Household Insecticides,320 ml,220.00,199.00,Standard safe formulation fly killer for food spaces,https://www.bigbasket.com/media/uploads/p/l/40121151_1-hit-food-safe-fly-spray-320ml.jpg
GCPL-HT-112,Lal HIT Crawling Insect Spray Super Nozzle,HIT,Home Care,Household Insecticides,700 ml,360.00,315.00,Maximum reach nozzle crawling insect killer aerosol,https://www.bigbasket.com/media/uploads/p/l/107804_9-hit-cockroach-killer-spray-700ml.jpg
GCPL-HT-113,Kala HIT Flying Insect Spray Super Nozzle,HIT,Home Care,Household Insecticides,700 ml,330.00,295.00,Maximum capacity flying insect aerosol spray,https://www.bigbasket.com/media/uploads/p/l/120285_10-hit-flying-insect-killer-700ml.jpg
GCPL-HT-114,Lal HIT Cockroach Killer Spray Twin Pack,HIT,Home Care,Household Insecticides,2 x 320 ml,350.00,310.00,Twin saving aerosol box of لال हिट crawling spray,https://www.bigbasket.com/media/uploads/p/l/107805_9-hit-cockroach-killer-spray-pack-of-2.jpg
GCPL-HT-115,Kala HIT Flying Insect Spray Twin Pack,HIT,Home Care,Household Insecticides,2 x 320 ml,300.00,265.00,Twin saving aerosol box of kala hit flying spray,https://www.bigbasket.com/media/uploads/p/l/120286_10-hit-flying-insect-killer-pack-of-2.jpg
GCPL-HT-116,HIT Rat Glue Board Small (Pack of 3),HIT,Home Care,Household Insecticides,3 Units,150.00,135.00,Triple pack of small mouse trap adhesive pads,https://www.bigbasket.com/media/uploads/p/l/40118326_1-hit-rat-glue-board-small.jpg
GCPL-HT-117,HIT Chalk for Cockroaches & Ants (Pack of 5),HIT,Home Care,Household Insecticides,5 Units,100.00,88.00,Five pack bulk set of insect chalks,https://www.bigbasket.com/media/uploads/p/l/40121152_1-hit-chalk-pack-of-5.jpg
GCPL-HT-118,HIT Bed Bug Aerosol Spray,HIT,Home Care,Household Insecticides,320 ml,250.00,225.00,Targeted spray with strong contact formula for mattress protection,https://www.bigbasket.com/media/uploads/p/l/40121153_1-hit-bed-bug-spray.jpg
GCPL-HT-119,HIT Bed Bug Aerosol Spray Large,HIT,Home Care,Household Insecticides,400 ml,310.00,275.00,Standard deep impact insecticide spray for bed bug control,https://www.bigbasket.com/media/uploads/p/l/40121154_1-hit-bed-bug-spray-400ml.jpg
GCPL-HT-120,HIT Food Safe Fly Spray Twin Pack,HIT,Home Care,Household Insecticides,2 x 150 ml,230.00,205.00,Safe space insecticide spray dual pack,https://www.bigbasket.com/media/uploads/p/l/40121155_1-hit-food-safe-fly-spray-pack-of-2.jpg
GCPL-HT-121,HIT Anti-Mosquito Racquet Classic (Pack of 2),HIT,Home Care,Household Insecticides,2 Units,998.00,820.00,Dual classic insect bats family saver set,https://www.bigbasket.com/media/uploads/p/l/40191836_1-hit-anti-mosquito-racquet-pack-of-2.jpg
GCPL-HT-122,Lal HIT Cockroach Killer Spray 200ml,HIT,Home Care,Household Insecticides,200 ml,110.00,99.00,Handy pocket size crawling pest spray,https://www.bigbasket.com/media/uploads/p/l/107806_9-hit-cockroach-killer-spray-200ml.jpg
GCPL-HT-123,Kala HIT Flying Insect Killer Spray 200ml,HIT,Home Care,Household Insecticides,200 ml,95.00,88.00,Handy pocket size flying mosquito spray,https://www.bigbasket.com/media/uploads/p/l/120287_10-hit-flying-insect-killer-200ml.jpg
GCPL-HT-124,HIT Roach Gel Family Box,HIT,Home Care,Household Insecticides,3 x 20 g,480.00,410.00,Three syringe bundle for total nesting control,https://www.bigbasket.com/media/uploads/p/l/40038223_1-hit-anti-roach-gel-pack-of-3.jpg
GCPL-HT-125,HIT Rat Glue Board Extra Large Book,HIT,Home Care,Household Insecticides,1 Unit,180.00,160.00,Heavy-duty folding book trap for professional rodent pest control,https://www.bigbasket.com/media/uploads/p/l/40118327_1-hit-rat-glue-board-xl.jpg
GCPL-HT-126,HIT Crawling Insect Killer Chalk Red Line,HIT,Home Care,Household Insecticides,1 Unit,25.00,22.00,Extra active red line drawing chemical chalk,https://www.bigbasket.com/media/uploads/p/l/40121156_1-hit-chalk-red-line.jpg
GCPL-HT-127,HIT Crawling Insect Killer Chalk Red Line (Pack of 2),HIT,Home Care,Household Insecticides,2 Units,50.00,42.00,Dual pack red line active drawing chalks,https://www.bigbasket.com/media/uploads/p/l/40121157_1-hit-chalk-red-line-pack-of-2.jpg
GCPL-HT-128,HIT Cockroach Bait Stations (Pack of 4),HIT,Home Care,Household Insecticides,4 Baits,140.00,125.00,Plastic protective bait discs for clean cockroach control,https://www.bigbasket.com/media/uploads/p/l/40121158_1-hit-bait-stations.jpg
GCPL-HT-129,HIT Cockroach Bait Stations (Pack of 8),HIT,Home Care,Household Insecticides,8 Baits,260.00,230.00,Value box with eight active cockroach bait stations,https://www.bigbasket.com/media/uploads/p/l/40121159_1-hit-bait-stations-pack-of-8.jpg
GCPL-HT-130,HIT Red Spray + Gel Kitchen Combi Pack,HIT,Home Care,Household Insecticides,1 Pack,335.00,295.00,Contains Red HIT Aerosol 320ml and Roach Gel 20g,https://www.bigbasket.com/media/uploads/p/l/40121160_1-hit-red-gel-combi.jpg
GCPL-HT-131,Kala HIT Spray + Gold Flash Machine Repellent Combi,HIT,Home Care,Household Insecticides,1 Pack,270.00,240.00,Contains Kala HIT 320ml and Goodknight Gold Flash Machine,https://www.bigbasket.com/media/uploads/p/l/40121161_1-hit-black-gk-combi.jpg
GCPL-HT-132,HIT Crawling Insect Spray No Drip Formula,HIT,Home Care,Household Insecticides,320 ml,185.00,169.00,Red hit aerosol featuring non-drip quick-drying technology,https://www.bigbasket.com/media/uploads/p/l/40093851_1-hit-no-drip.jpg
GCPL-HT-133,HIT Crawling Insect Spray No Drip Large,HIT,Home Care,Household Insecticides,400 ml,230.00,208.00,Large red hit aerosol featuring non-drip tech,https://www.bigbasket.com/media/uploads/p/l/40093852_1-hit-no-drip-400ml.jpg
GCPL-HT-134,HIT Fly & Mosquito Spray Fragrance Free,HIT,Home Care,Household Insecticides,320 ml,160.00,145.00,Odourless black hit aerosol spray for sensitive noses,https://www.bigbasket.com/media/uploads/p/l/120288_10-hit-fragrance-free.jpg
GCPL-HT-135,HIT Fly & Mosquito Spray Fragrance Free Large,HIT,Home Care,Household Insecticides,400 ml,210.00,188.00,Odourless black hit aerosol spray in large size,https://www.bigbasket.com/media/uploads/p/l/120289_10-hit-fragrance-free-400ml.jpg
GCPL-HT-136,HIT Racquet Replacement Mesh Core,HIT,Home Care,Household Insecticides,1 Unit,150.00,135.00,Standard replacement electric mesh grid for HIT Racquet,https://www.bigbasket.com/media/uploads/p/l/40191837_1-hit-racquet-core.jpg
GCPL-HT-137,HIT Termite Control Spray,HIT,Home Care,Household Insecticides,320 ml,280.00,249.00,Deep wood penetration active spray with applicator straw,https://www.bigbasket.com/media/uploads/p/l/40121162_1-hit-termite-spray.jpg
GCPL-HT-138,HIT Termite Control Spray Large,HIT,Home Care,Household Insecticides,400 ml,350.00,310.00,Deep wood penetration active termite spray in large size,https://www.bigbasket.com/media/uploads/p/l/40121163_1-hit-termite-spray-400ml.jpg
GCPL-HT-139,HIT Red Spray 450ml Nozzle,HIT,Home Care,Household Insecticides,450 ml,240.00,215.00,Intermediate value size cockroach spray,https://www.bigbasket.com/media/uploads/p/l/107807_9-hit-cockroach-killer-450ml.jpg
GCPL-HT-140,HIT Black Spray 450ml Nozzle,HIT,Home Care,Household Insecticides,450 ml,215.00,195.00,Intermediate value size flying bug spray,https://www.bigbasket.com/media/uploads/p/l/120290_10-hit-flying-killer-450ml.jpg
GCPL-HT-141,HIT Roach Gel Twin Synergy Pack,HIT,Home Care,Household Insecticides,2 x 10 g,170.00,155.00,Compact twin syringes for smaller kitchen areas,https://www.bigbasket.com/media/uploads/p/l/40038224_1-hit-gel-twin-synergy.jpg
GCPL-HT-142,HIT Mosquito Racquet (USB Smart Charger Type),HIT,Home Care,Household Insecticides,1 Unit,649.00,549.00,Premium racquet with modern Type-C USB fast charging port,https://www.bigbasket.com/media/uploads/p/l/40191838_1-hit-racquet-usb.jpg
GCPL-HT-143,HIT Crawling Spot Treatment Chalk,HIT,Home Care,Household Insecticides,1 Unit,30.00,26.00,Thick chalk designed for heavy coverage spot lines,https://www.bigbasket.com/media/uploads/p/l/40121164_1-hit-thick-chalk.jpg
GCPL-HT-144,HIT Rat Glue Trap Board Heavy Tray,HIT,Home Care,Household Insecticides,1 Unit,150.00,132.00,Rigid plastic heavy tray containing extra-thick glue,https://www.bigbasket.com/media/uploads/p/l/40118328_1-hit-rat-glue-tray.jpg
GCPL-HT-145,HIT Mosquito Guard Natural Coil Scented,HIT,Home Care,Household Insecticides,10 Coils,45.00,40.00,Organic active standard spiral coils with sweet pine scent,https://www.bigbasket.com/media/uploads/p/l/40204144_1-good-knight-pine-coil.jpg
GCPL-CN-146,Cinthol Original Soap,Cinthol,Personal Care,Bath Soaps,100 g,43.00,40.00,Doctor recommended skin-safe deodorant bath soap,https://www.bigbasket.com/media/uploads/p/l/120516_12-cinthol-original-bath-soap-protects-from-body-odour.jpg
GCPL-CN-147,Cinthol Original Soap (Pack of 3),Cinthol,Personal Care,Bath Soaps,3 x 100 g,125.00,118.00,Triple box pack of classic Cinthol Original soap,https://www.bigbasket.com/media/uploads/p/l/120517_12-cinthol-original-bath-soap-pack-of-3.jpg
GCPL-CN-148,Cinthol Original Soap (Buy 4 Get 1 Free),Cinthol,Personal Care,Bath Soaps,5 x 100 g,215.00,195.00,Family saving bundle of 5 Cinthol Original soaps,https://www.bigbasket.com/media/uploads/p/l/120518_12-cinthol-original-bath-soap-buy-4-get-1.jpg
GCPL-CN-149,Cinthol Original Soap Large,Cinthol,Personal Care,Bath Soaps,150 g,65.00,60.00,Large size classic germ protection soap,https://www.bigbasket.com/media/uploads/p/l/120519_12-cinthol-original-bath-soap-150g.jpg
GCPL-CN-150,Cinthol Original Soap Large (Pack of 3),Cinthol,Personal Care,Bath Soaps,3 x 150 g,190.00,175.00,Triple pack of 150g Cinthol Original soaps,https://www.bigbasket.com/media/uploads/p/l/120520_12-cinthol-original-bath-soap-150g-pack-of-3.jpg
GCPL-CN-151,Cinthol Cool Mint Soap,Cinthol,Personal Care,Bath Soaps,100 g,45.00,41.00,Refreshing bath soap with active menthol and icy cooling feel,https://www.bigbasket.com/media/uploads/p/l/281358_11-cinthol-cool-bath-soap-with-menthol-active-deo-fragrance.jpg
GCPL-CN-152,Cinthol Cool Mint Soap (Pack of 3),Cinthol,Personal Care,Bath Soaps,3 x 100 g,130.00,120.00,Menthol cooling soap triple protection pack,https://www.bigbasket.com/media/uploads/p/l/281359_11-cinthol-cool-bath-soap-pack-of-3.jpg
GCPL-CN-153,Cinthol Cool Mint Soap (Buy 4 Get 1 Free),Cinthol,Personal Care,Bath Soaps,5 x 100 g,225.00,200.00,Family pack containing 5 ice cool soaps,https://www.bigbasket.com/media/uploads/p/l/281360_11-cinthol-cool-bath-soap-buy-4-get-1.jpg
GCPL-CN-154,Cinthol Cool Mint Soap Large,Cinthol,Personal Care,Bath Soaps,150 g,68.00,62.00,Large size cooling menthol soap,https://www.bigbasket.com/media/uploads/p/l/281361_11-cinthol-cool-bath-soap-150g.jpg
GCPL-CN-155,Cinthol Cool Mint Soap Large (Pack of 3),Cinthol,Personal Care,Bath Soaps,3 x 150 g,200.00,182.00,Triple pack of 150g menthol soap,https://www.bigbasket.com/media/uploads/p/l/281362_11-cinthol-cool-bath-soap-150g-pack-of-3.jpg
GCPL-CN-156,Cinthol Lime Refreshing Soap,Cinthol,Personal Care,Bath Soaps,100 g,45.00,41.00,Zesty citrus soap with enhanced lime oil fragrance,https://www.bigbasket.com/media/uploads/p/l/281359_11-cinthol-lime-bath-soap-with-enhanced-lime-fragrance.jpg
GCPL-CN-157,Cinthol Lime Refreshing Soap (Pack of 3),Cinthol,Personal Care,Bath Soaps,3 x 100 g,130.00,120.00,Triple box pack of Cinthol Lime refresh soaps,https://www.bigbasket.com/media/uploads/p/l/281360_11-cinthol-lime-bath-soap-pack-of-3.jpg
GCPL-CN-158,Cinthol Lime Refreshing Soap (Buy 4 Get 1 Free),Cinthol,Personal Care,Bath Soaps,5 x 100 g,225.00,200.00,Family saver 5-pack of zesty lime soaps,https://www.bigbasket.com/media/uploads/p/l/281361_11-cinthol-lime-bath-soap-buy-4-get-1.jpg
GCPL-CN-159,Cinthol Lime Refreshing Soap Large,Cinthol,Personal Care,Bath Soaps,150 g,68.00,62.00,Large size fresh citrus lime bath soap,https://www.bigbasket.com/media/uploads/p/l/281362_11-cinthol-lime-bath-soap-150g.jpg
GCPL-CN-160,Cinthol Lime Refreshing Soap Large (Pack of 3),Cinthol,Personal Care,Bath Soaps,3 x 150 g,200.00,182.00,Triple pack of large lime refreshing soaps,https://www.bigbasket.com/media/uploads/p/l/281363_11-cinthol-lime-bath-soap-150g-pack-of-3.jpg
GCPL-CN-161,Cinthol Deo Active Soap,Cinthol,Personal Care,Bath Soaps,100 g,45.00,41.00,Deodorant active soap that prevents sweat-induced odour,https://www.bigbasket.com/media/uploads/p/l/281364_11-cinthol-deo-bath-soap.jpg
GCPL-CN-162,Cinthol Deo Active Soap (Pack of 3),Cinthol,Personal Care,Bath Soaps,3 x 100 g,130.00,120.00,Triple box of deodorant protection soaps,https://www.bigbasket.com/media/uploads/p/l/281365_11-cinthol-deo-bath-soap-pack-of-3.jpg
GCPL-CN-163,Cinthol Deo Active Soap (Buy 4 Get 1 Free),Cinthol,Personal Care,Bath Soaps,5 x 100 g,225.00,200.00,Family bulk pack of deodorant bath soaps,https://www.bigbasket.com/media/uploads/p/l/281366_11-cinthol-deo-bath-soap-buy-4-get-1.jpg
GCPL-CN-164,Cinthol Deo Active Soap Large,Cinthol,Personal Care,Bath Soaps,150 g,68.00,62.00,Large size long-lasting deodorant soap,https://www.bigbasket.com/media/uploads/p/l/281367_11-cinthol-deo-soap-150g.jpg
GCPL-CN-165,Cinthol Deo Active Soap Large (Pack of 3),Cinthol,Personal Care,Bath Soaps,3 x 150 g,200.00,182.00,Triple pack of 150g deodorant active soaps,https://www.bigbasket.com/media/uploads/p/l/281368_11-cinthol-deo-soap-150g-pack-of-3.jpg
GCPL-CN-166,Cinthol Sandal Premium Soap,Cinthol,Personal Care,Bath Soaps,100 g,48.00,44.00,Premium soap formulated with cooling sandal wood extracts,https://www.bigbasket.com/media/uploads/p/l/40118328_1-cinthol-sandal-soap.jpg
GCPL-CN-167,Cinthol Sandal Premium Soap (Pack of 3),Cinthol,Personal Care,Bath Soaps,3 x 100 g,140.00,128.00,Sandal wood extract soap triple box pack,https://www.bigbasket.com/media/uploads/p/l/40118329_1-cinthol-sandal-soap-pack-of-3.jpg
GCPL-CN-168,Cinthol Sandal Premium Soap (Buy 4 Get 1 Free),Cinthol,Personal Care,Bath Soaps,5 x 100 g,235.00,210.00,Family pack of premium sandal wood soaps,https://www.bigbasket.com/media/uploads/p/l/40118330_1-cinthol-sandal-soap-buy-4-get-1.jpg
GCPL-CN-169,Cinthol Sandal Premium Soap Large,Cinthol,Personal Care,Bath Soaps,150 g,72.00,66.00,Large size premium formulation sandal soap,https://www.bigbasket.com/media/uploads/p/l/40118331_1-cinthol-sandal-soap-150g.jpg
GCPL-CN-170,Cinthol Sandal Premium Soap Large (Pack of 3),Cinthol,Personal Care,Bath Soaps,3 x 150 g,210.00,190.00,Triple pack of 150g premium sandal soaps,https://www.bigbasket.com/media/uploads/p/l/40118332_1-cinthol-sandal-soap-150g-pack-of-3.jpg
GCPL-CN-171,Cinthol Charcoal Deep Cleansing Soap,Cinthol,Personal Care,Bath Soaps,100 g,46.00,42.00,Deep cleansing soap with active bamboo charcoal powder,https://www.bigbasket.com/media/uploads/p/l/40188214_1-cinthol-charcoal-soap.jpg
GCPL-CN-172,Cinthol Charcoal Deep Cleansing Soap (Pack of 3),Cinthol,Personal Care,Bath Soaps,3 x 100 g,135.00,124.00,Charcoal soap triple skin purification pack,https://www.bigbasket.com/media/uploads/p/l/40188215_1-cinthol-charcoal-soap-pack-of-3.jpg
GCPL-CN-173,Cinthol Charcoal Soap (Buy 4 Get 1 Free),Cinthol,Personal Care,Bath Soaps,5 x 100 g,230.00,205.00,Family saver bundle of charcoal deep cleansing soaps,https://www.bigbasket.com/media/uploads/p/l/40188216_1-cinthol-charcoal-soap-buy-4-get-1.jpg
GCPL-CN-174,Cinthol Charcoal Deep Cleansing Soap Large,Cinthol,Personal Care,Bath Soaps,150 g,70.00,64.00,Large size deep cleanse charcoal bath soap,https://www.bigbasket.com/media/uploads/p/l/40188217_1-cinthol-charcoal-soap-150g.jpg
GCPL-CN-175,Cinthol Charcoal Soap Large (Pack of 3),Cinthol,Personal Care,Bath Soaps,3 x 150 g,205.00,185.00,Triple pack of large 150g active charcoal soaps,https://www.bigbasket.com/media/uploads/p/l/40188218_1-cinthol-charcoal-soap-150g-pack-of-3.jpg
GCPL-CN-176,Cinthol Cool Wave Deodorant Spray,Cinthol,Personal Care,Deodorants,150 ml,199.00,150.00,Ice cool deodorant spray with sweat protection technology,https://www.bigbasket.com/media/uploads/p/l/40098224_1-cinthol-cool-wave-deo.jpg
GCPL-CN-177,Cinthol Spin Deodorant Spray,Cinthol,Personal Care,Deodorants,150 ml,199.00,150.00,Deo spray featuring sporty notes and long lasting active scent,https://www.bigbasket.com/media/uploads/p/l/40098225_1-cinthol-spin-deo.jpg
GCPL-CN-178,Cinthol Rush Deodorant Spray,Cinthol,Personal Care,Deodorants,150 ml,199.00,150.00,Intense woody fragrance deo spray for men,https://www.bigbasket.com/media/uploads/p/l/40098226_1-cinthol-rush-deo.jpg
GCPL-CN-179,Cinthol Energy Deodorant Spray,Cinthol,Personal Care,Deodorants,150 ml,199.00,150.00,Vibrant citrus notes deodorant for high physical performance,https://www.bigbasket.com/media/uploads/p/l/40098227_1-cinthol-energy-deo.jpg
GCPL-CN-180,Cinthol Play Deodorant Spray,Cinthol,Personal Care,Deodorants,150 ml,199.00,150.00,Playful sweet aromatic deodorant spray for casual use,https://www.bigbasket.com/media/uploads/p/l/40098228_1-cinthol-play-deo.jpg
GCPL-CN-181,Cinthol Intense Deodorant Spray,Cinthol,Personal Care,Deodorants,150 ml,199.00,150.00,Premium masculine concentrated body spray,https://www.bigbasket.com/media/uploads/p/l/40098229_1-cinthol-intense-deo.jpg
GCPL-CN-182,Cinthol Cool Wave Deodorant Spray (Pack of 2),Cinthol,Personal Care,Deodorants,2 x 150 ml,398.00,285.00,Double saving body spray bundle for boys,https://www.bigbasket.com/media/uploads/p/l/40098230_1-cinthol-cool-wave-deo-pack-of-2.jpg
GCPL-CN-183,Cinthol Spin Deodorant Spray (Pack of 2),Cinthol,Personal Care,Deodorants,2 x 150 ml,398.00,285.00,Double sporty fragrance deodorant set,https://www.bigbasket.com/media/uploads/p/l/40098231_1-cinthol-spin-deo-pack-of-2.jpg
GCPL-CN-184,Cinthol Cool Mint Talcum Powder,Cinthol,Personal Care,Talcum Powders,100 g,85.00,75.00,Refreshing icy cooling talc powder with active menthol,https://www.bigbasket.com/media/uploads/p/l/40118333_1-cinthol-cool-talc.jpg
GCPL-CN-185,Cinthol Cool Mint Talcum Powder Medium,Cinthol,Personal Care,Talcum Powders,200 g,150.00,135.00,Refreshing icy menthol talc in intermediate bottle,https://www.bigbasket.com/media/uploads/p/l/40118334_1-cinthol-cool-talc-200g.jpg
GCPL-CN-186,Cinthol Cool Mint Talcum Powder Large,Cinthol,Personal Care,Talcum Powders,300 g,199.00,175.00,Family size refreshing cooling menthol talc,https://www.bigbasket.com/media/uploads/p/l/40118335_1-cinthol-cool-talc-300g.jpg
GCPL-CN-187,Cinthol Lime Fresh Talcum Powder,Cinthol,Personal Care,Talcum Powders,100 g,85.00,75.00,Zesty citrus lime scented body cooling talc,https://www.bigbasket.com/media/uploads/p/l/40118336_1-cinthol-lime-talc.jpg
GCPL-CN-188,Cinthol Lime Fresh Talcum Powder Medium,Cinthol,Personal Care,Talcum Powders,200 g,150.00,135.00,Zesty lime fragrance body talc in medium bottle,https://www.bigbasket.com/media/uploads/p/l/40118337_1-cinthol-lime-talc-200g.jpg
GCPL-CN-189,Cinthol Lime Fresh Talcum Powder Large,Cinthol,Personal Care,Talcum Powders,300 g,199.00,175.00,Family size cooling citrus lime talcum powder,https://www.bigbasket.com/media/uploads/p/l/40118338_1-cinthol-lime-talc-300g.jpg
GCPL-CN-190,Cinthol Original Deo Talcum Powder,Cinthol,Personal Care,Talcum Powders,100 g,80.00,72.00,Standard therapeutic sweat protecting germ killer talc,https://www.bigbasket.com/media/uploads/p/l/40118339_1-cinthol-original-talc.jpg
GCPL-CN-191,Cinthol Original Deo Talcum Powder Large,Cinthol,Personal Care,Talcum Powders,300 g,185.00,165.00,Therapeutic germ protecting sweat control talc in family pack,https://www.bigbasket.com/media/uploads/p/l/40118340_1-cinthol-original-talc-300g.jpg
GCPL-CN-192,Cinthol Cool Mint Shower Gel / Body Wash,Cinthol,Personal Care,Body Washes,250 ml,199.00,175.00,Menthol cooling liquid body wash with loofah,https://www.bigbasket.com/media/uploads/p/l/40118341_1-cinthol-cool-body-wash.jpg
GCPL-CN-193,Cinthol Lime Fresh Shower Gel / Body Wash,Cinthol,Personal Care,Body Washes,250 ml,199.00,175.00,Refreshing citrus active liquid shower gel,https://www.bigbasket.com/media/uploads/p/l/40118342_1-cinthol-lime-body-wash.jpg
GCPL-CN-194,Cinthol Charcoal Deep Cleansing Body Wash,Cinthol,Personal Care,Body Washes,250 ml,220.00,195.00,Exfoliating bamboo charcoal liquid body wash,https://www.bigbasket.com/media/uploads/p/l/40188219_1-cinthol-charcoal-body-wash.jpg
GCPL-CN-195,Cinthol Original Shaving Cream Tube,Cinthol,Personal Care,Shaving Creams,70 g,70.00,65.00,Classic protective lather formulation shaving cream,https://www.bigbasket.com/media/uploads/p/l/102875_6-cinthol-original-shaving-cream.jpg
GCPL-CN-196,Cinthol Cool Menthol Shaving Cream,Cinthol,Personal Care,Shaving Creams,70 g,75.00,70.00,Mentholated refreshing rich lather shaving cream,https://www.bigbasket.com/media/uploads/p/l/102876_6-cinthol-cool-shaving-cream.jpg
GCPL-CN-197,Cinthol Lime Fresh Shaving Cream,Cinthol,Personal Care,Shaving Creams,70 g,75.00,70.00,Citrus lime active lather shaving cream in tube,https://www.bigbasket.com/media/uploads/p/l/102877_6-cinthol-lime-shaving-cream.jpg
GCPL-CN-198,Cinthol Cool Wave Shaving Foam Can,Cinthol,Personal Care,Shaving Creams,200 ml,199.00,170.00,Instant rich lubricating shaving foam with cooling menthol,https://www.bigbasket.com/media/uploads/p/l/40121165_1-cinthol-shaving-foam.jpg
GCPL-CN-199,Cinthol Sensitive Shaving Foam Can,Cinthol,Personal Care,Shaving Creams,200 ml,199.00,170.00,Aloe vera infused skin-friendly instant shaving foam,https://www.bigbasket.com/media/uploads/p/l/40121166_1-cinthol-shaving-foam-sensitive.jpg
GCPL-CN-200,Cinthol Original Bath Soap Small,Cinthol,Personal Care,Bath Soaps,50 g,22.00,20.00,Travel size classic germ protection soap,https://www.bigbasket.com/media/uploads/p/l/120521_12-cinthol-original-soap-50g.jpg
GCPL-CN-201,Cinthol Original Soap (Buy 3 Get 1 Free),Cinthol,Personal Care,Bath Soaps,4 x 100 g,172.00,158.00,Value box containing 4 classic original soaps,https://www.bigbasket.com/media/uploads/p/l/120522_12-cinthol-original-soap-buy-3-get-1.jpg
GCPL-CN-202,Cinthol Cool Mint Soap (Buy 3 Get 1 Free),Cinthol,Personal Care,Bath Soaps,4 x 100 g,180.00,165.00,Value box containing 4 ice cooling soaps,https://www.bigbasket.com/media/uploads/p/l/281363_11-cinthol-cool-soap-buy-3-get-1.jpg
GCPL-CN-203,Cinthol Lime Refresh Soap (Buy 3 Get 1 Free),Cinthol,Personal Care,Bath Soaps,4 x 100 g,180.00,165.00,Value box containing 4 zesty lime soaps,https://www.bigbasket.com/media/uploads/p/l/281364_11-cinthol-lime-soap-buy-3-get-1.jpg
GCPL-CN-204,Cinthol Deo Active Soap (Buy 3 Get 1 Free),Cinthol,Personal Care,Bath Soaps,4 x 100 g,180.00,165.00,Value box containing 4 active deodorant soaps,https://www.bigbasket.com/media/uploads/p/l/281369_11-cinthol-deo-soap-buy-3-get-1.jpg
GCPL-CN-205,Cinthol Sandal Soap (Buy 3 Get 1 Free),Cinthol,Personal Care,Bath Soaps,4 x 100 g,192.00,175.00,Value box containing 4 premium sandalwood soaps,https://www.bigbasket.com/media/uploads/p/l/40118333_1-cinthol-sandal-soap-buy-3-get-1.jpg
